id  ,Filename                               ,Label               ,Type  ,Framerate ,Resolution ,Length (frames) ,InThisRepo ,ID  ,extension
  0 ,Cov-Atlas+(44)                         ,COVID-19            ,video ,       10 ,139x139    ,             41 ,Yes        ,  0 ,gif
  1 ,Cov-Atlas+(45)                         ,COVID-19            ,video ,       10 ,174x174    ,             21 ,Yes        ,  1 ,gif
  2 ,Cov-Atlas-Day+2                        ,COVID-19            ,video ,       10 ,142x142    ,             83 ,Yes        ,  2 ,gif
  3 ,Cov-Atlas-Day+4                        ,COVID-19            ,video ,       10 ,230x230    ,             40 ,Yes        ,  3 ,gif
  4 ,Pneu-Atlas-pneumonia                   ,Bacterial pneumonia ,video ,       10 ,208x208    ,             59 ,Yes        ,  4 ,gif
  5 ,Reg-Atlas-lungcurtain                  ,regular             ,video ,       10 ,212x212    ,             60 ,Yes        ,  5 ,gif
  6 ,Reg-Atlas                              ,regular             ,video ,       10 ,250x250    ,             59 ,Yes        ,  6 ,gif
  7 ,Cov-Atlas-+(43)                        ,COVID-19            ,video ,       10 ,163x163    ,             39 ,Yes        ,  7 ,gif
  8 ,Cov-Atlas-Day+1                        ,COVID-19            ,video ,       10 ,408x408    ,             33 ,Yes        ,  8 ,gif
  9 ,Cov-Atlas-Day+3                        ,COVID-19            ,video ,       10 ,240x240    ,             40 ,Yes        ,  9 ,gif
 10 ,Reg-Atlas-alines                       ,regular             ,video ,       10 ,165x165    ,             60 ,Yes        , 10 ,gif
 11 ,Pneu-Atlas-pneumonia2                  ,Bacterial pneumonia ,video ,       10 ,327x327    ,             40 ,Yes        , 11 ,gif
 12 ,Cov-Atlas-suspectedCovid               ,COVID-19            ,video ,       25 ,1080x1080  ,            100 ,Yes        , 12 ,mp4
 13 ,pneu-radiopaeda                        ,Bacterial pneumonia ,video ,       30 ,221x236    ,            223 ,Yes        , 13 ,mp4
 14 ,Reg-NormalLungs                        ,regular             ,video ,       25 ,148x141    ,            131 ,Yes        , 14 ,mp4
 15 ,Reg_Image_181602_trimmed_crop          ,regular             ,video ,       29 ,386x386    ,            374 ,Yes        , 15 ,mp4
 16 ,Reg_Image_181739_trimmed_crop          ,regular             ,video ,       29 ,386x386    ,            104 ,Yes        , 16 ,mp4
 17 ,Reg_Image_182106_crop                  ,regular             ,video ,       31 ,382x382    ,            206 ,Yes        , 17 ,mp4
 18 ,Reg_Image_182340_crop                  ,regular             ,video ,       37 ,400x400    ,            309 ,Yes        , 18 ,mp4
 19 ,Reg_pat1Image_132943                   ,regular             ,video ,       25 ,370x370    ,            280 ,Yes        , 19 ,mpeg
 20 ,Reg_pat1Image_133043                   ,regular             ,video ,       25 ,370x370    ,            245 ,Yes        , 20 ,mpeg
 21 ,Reg_pat1Image_133138                   ,regular             ,video ,       25 ,370x370    ,            260 ,Yes        , 21 ,mpeg
 22 ,Reg_pat1Image_133232                   ,regular             ,video ,       25 ,370x370    ,            199 ,Yes        , 22 ,mpeg
 23 ,Reg_pat1Image_133327                   ,regular             ,video ,       25 ,370x370    ,            218 ,Yes        , 23 ,mpeg
 24 ,Reg_pat1Image_133410                   ,regular             ,video ,       25 ,370x370    ,            182 ,Yes        , 24 ,mpeg
 25 ,Reg_pat2Image_133824                   ,regular             ,video ,       25 ,370x370    ,            271 ,Yes        , 25 ,mpeg
 26 ,Reg_pat2Image_133952                   ,regular             ,video ,       25 ,370x370    ,            254 ,Yes        , 26 ,mpeg
 27 ,Reg_pat2Image_134138                   ,regular             ,video ,       25 ,370x370    ,            236 ,Yes        , 27 ,mpeg
 28 ,Reg_pat2Image_134240                   ,regular             ,video ,       25 ,370x370    ,            254 ,Yes        , 28 ,mpeg
 29 ,Reg_pat2Image_134348                   ,regular             ,video ,       25 ,370x370    ,            207 ,Yes        , 29 ,mpeg
 30 ,Reg_pat2Image_134441                   ,regular             ,video ,       25 ,370x370    ,            214 ,Yes        , 30 ,mpeg
 31 ,Reg_pat3Image_134711                   ,regular             ,video ,       25 ,370x370    ,            216 ,Yes        , 31 ,mpeg
 32 ,Reg_pat3Image_134811                   ,regular             ,video ,       25 ,370x370    ,            206 ,Yes        , 32 ,mpeg
 33 ,Reg_pat3Image_134904                   ,regular             ,video ,       25 ,370x370    ,            245 ,Yes        , 33 ,mpeg
 34 ,Reg_pat3Image_135026                   ,regular             ,video ,       25 ,370x370    ,            278 ,Yes        , 34 ,mpeg
 35 ,Reg_pat3Image_135128                   ,regular             ,video ,       25 ,370x370    ,            208 ,Yes        , 35 ,mpeg
 36 ,Reg_pat3Image_135215                   ,regular             ,video ,       25 ,370x370    ,            317 ,Yes        , 36 ,mpeg
 37 ,Reg_pat4Image_135904                   ,regular             ,video ,       25 ,370x370    ,            266 ,Yes        , 37 ,mpeg
 38 ,Reg_pat4Image_140024                   ,regular             ,video ,       25 ,370x370    ,            436 ,Yes        , 38 ,mpeg
 39 ,Reg_pat4Image_140238                   ,regular             ,video ,       25 ,370x370    ,            215 ,Yes        , 39 ,mpeg
 40 ,Reg_pat4Image_140434                   ,regular             ,video ,       25 ,370x370    ,            323 ,Yes        , 40 ,mpeg
 41 ,Reg_pat4Image_140606                   ,regular             ,video ,       25 ,370x370    ,            218 ,Yes        , 41 ,mpeg
 42 ,Reg_pat4Image_140705                   ,regular             ,video ,       25 ,370x370    ,            266 ,Yes        , 42 ,mpeg
 43 ,Pneu_Basal-pneumonia-RUQ_crop          ,Bacterial pneumonia ,video ,       15 ,268x268    ,             27 ,Yes        , 43 ,mp4
 44 ,Reg_liftl_pneucase3_clip1              ,regular             ,video ,       15 ,286x286    ,             24 ,Yes        , 44 ,mp4
 45 ,Pneu_liftl_pneu_case3_clip5            ,Bacterial pneumonia ,video ,       15 ,272x272    ,             26 ,Yes        , 45 ,mp4
 46 ,Pneu_liftl_pneu_case3_clip4            ,Bacterial pneumonia ,video ,       15 ,306x306    ,             41 ,Yes        , 46 ,mp4
 47 ,Pneu_liftl_pneu_case3_clip3            ,Bacterial pneumonia ,video ,       15 ,280x280    ,             25 ,Yes        , 47 ,mp4
 48 ,Pneu_Pneumonia-LITFL-Ultrasound_crop   ,Bacterial pneumonia ,video ,       15 ,316x316    ,             27 ,Yes        , 48 ,mp4
 49 ,Pneu_from_article_rippey               ,Bacterial pneumonia ,video ,       15 ,272x272    ,             42 ,Yes        , 49 ,mp4
 50 ,Pneu_basalpneumonia_liftle_case1       ,Bacterial pneumonia ,video ,       15 ,340x340    ,             42 ,Yes        , 50 ,mp4
 51 ,Vir_liftl_H1N1_case2_clip1             ,Viral pneumonia     ,video ,       12 ,254x254    ,             36 ,Yes        , 51 ,mp4
 52 ,Reg_liftl_case3_clip2                  ,regular             ,video ,       15 ,264x264    ,             32 ,Yes        , 52 ,mp4
 53 ,Cov_combatting_Image1                  ,COVID-19            ,video ,       28 ,440x440    ,            113 ,Yes        , 53 ,mp4
 54 ,Cov_combatting_Image2                  ,COVID-19            ,video ,       32 ,440x440    ,            191 ,Yes        , 54 ,mp4
 55 ,Cov_combatting_Image3                  ,COVID-19            ,video ,       29 ,440x440    ,            174 ,Yes        , 55 ,mp4
 56 ,Cov_combatting_image4                  ,COVID-19            ,video ,       27 ,476x476    ,            137 ,Yes        , 56 ,mp4
 57 ,Cov_combatting_Image5                  ,COVID-19            ,video ,       30 ,394x394    ,            182 ,Yes        , 57 ,mp4
 58 ,Reg_Avi_lung-sliding                   ,regular             ,video ,       18 ,528x528    ,             56 ,Yes        , 58 ,mp4
 59 ,Reg_Avi_lung-sliding-3                 ,regular             ,video ,       18 ,512x512    ,             55 ,Yes        , 59 ,mp4
 60 ,Reg_Avi_lung-sliding-2                 ,regular             ,video ,       18 ,528x528    ,             56 ,Yes        , 60 ,mp4
 61 ,Reg_Avi_Image002                       ,regular             ,video ,       50 ,568x568    ,            202 ,Yes        , 61 ,mp4
 62 ,Reg_Avi_Image003                       ,regular             ,video ,       50 ,520x520    ,            202 ,Yes        , 62 ,mp4
 63 ,Reg_Avi_Image004                       ,regular             ,video ,       50 ,586x586    ,            202 ,Yes        , 63 ,mp4
 64 ,Reg_Avi_Image008                       ,regular             ,video ,       50 ,574x574    ,            199 ,Yes        , 64 ,mp4
 65 ,Pneu_Avi_Video_001                     ,Bacterial pneumonia ,video ,       22 ,608x608    ,             91 ,Yes        , 65 ,mp4
 66 ,Pneu_Avi_Video_002                     ,Bacterial pneumonia ,video ,       22 ,609x609    ,             93 ,Yes        , 66 ,mp4
 67 ,Pneu_Avi_Video_003                     ,Bacterial pneumonia ,video ,       22 ,607x607    ,             93 ,Yes        , 67 ,mp4
 68 ,Pneu_Avi_Video_004                     ,Bacterial pneumonia ,video ,       23 ,606x606    ,             31 ,Yes        , 68 ,mp4
 69 ,Pneu_Avi_Video_005                     ,Bacterial pneumonia ,video ,       22 ,607x607    ,             91 ,Yes        , 69 ,mp4
 70 ,Pneu_Avi_Video_006                     ,Bacterial pneumonia ,video ,       22 ,609x609    ,             92 ,Yes        , 70 ,mp4
 71 ,Reg_Avi_Video_001                      ,regular             ,video ,       22 ,609x609    ,             92 ,Yes        , 71 ,mp4
 72 ,Reg_Avi_Video_002                      ,regular             ,video ,       51 ,608x608    ,             64 ,Yes        , 72 ,mp4
 73 ,Reg_Avi_Video_003                      ,regular             ,video ,       22 ,608x608    ,             84 ,Yes        , 73 ,mp4
